,A1,A4,A6,dui/cuo
554,0,1,1,1
555,0,1,1,1
556,1,0,0,0
557,0,1,1,1
558,0,0,1,1
559,0,1,0,0
560,0,0,0,0
561,1,0,1,1
562,1,0,1,1
563,0,1,1,1
564,1,0,1,1
565,0,1,1,1
566,0,0,1,1
567,1,1,0,0
568,0,1,1,1
569,0,1,1,1
570,1,0,1,1
571,0,0,1,1
572,0,1,0,0
573,0,0,0,0
574,0,1,1,1
575,0,0,1,1
576,1,1,0,0
577,0,1,1,1
578,1,0,1,1
579,1,0,0,0
580,0,0,1,1
581,0,0,0,0
582,0,1,0,0
583,0,0,1,1
584,1,1,0,0
585,0,0,0,0
586,0,0,1,1
587,0,0,1,1
588,0,0,1,1
589,0,0,0,0
590,0,1,1,1
591,1,1,0,0
592,1,0,0,0
593,0,1,0,0
594,1,0,1,1
595,0,0,0,0
596,1,0,0,0
597,0,1,1,1
598,0,0,0,0
599,0,0,0,0
600,0,0,1,1
601,1,1,1,1
602,0,1,1,1
603,1,0,0,0
604,0,0,0,0
605,0,1,0,0
606,1,1,1,1
607,1,0,1,1
608,1,0,0,0
609,1,0,0,0
610,1,0,0,0
611,1,0,0,0
612,1,1,0,0
613,0,1,0,0
614,1,1,1,1
615,1,0,1,1
616,0,1,0,0
617,1,1,0,0
618,0,1,0,0
619,0,0,0,0
620,1,0,0,0
621,0,0,0,0
622,1,0,1,1
623,1,0,0,0
624,0,1,1,1
625,1,1,1,1
626,0,0,0,0
627,1,0,1,1
628,1,1,1,1
629,1,0,0,0
630,0,1,1,1
631,0,0,0,0
632,1,1,1,1
633,1,1,0,0
634,0,1,1,1
635,1,1,0,0
636,0,0,1,1
637,0,0,0,0
638,0,0,0,0
639,1,1,1,1
640,0,1,0,0
641,0,1,1,1
642,0,0,1,1
643,0,0,1,1
644,0,1,1,1
645,1,0,0,0
646,0,1,1,1
647,0,0,1,1
648,0,0,0,0
649,0,0,0,0
650,1,1,0,0
651,0,0,0,0
652,1,1,0,0
653,0,0,0,0
654,1,0,1,1
655,0,1,0,0
656,1,1,0,0
657,0,1,1,1
658,1,1,0,0
659,1,1,1,1
660,0,0,1,1
661,0,1,0,0
662,0,0,0,0
663,0,1,0,0
664,1,0,0,0
665,1,1,1,1
666,0,0,1,1
667,0,1,0,0
668,0,0,1,1
669,0,1,0,0
670,1,0,0,0
671,1,1,1,1
672,0,0,0,0
673,0,0,1,1
674,0,0,0,0
675,0,0,0,0
676,0,0,0,0
677,0,0,0,0
678,0,0,0,0
679,0,0,1,1
680,1,0,1,1
681,0,0,0,0
682,1,1,1,1
683,1,1,1,1
684,0,0,0,0
685,1,1,1,1
686,0,1,1,1
687,0,1,0,0
688,0,1,0,0
689,1,0,1,1
690,0,1,1,1
691,0,0,0,0
692,1,0,0,0
693,0,1,1,1
694,0,1,0,0
695,1,0,1,1
696,1,1,0,0
697,1,0,0,0
698,0,0,0,0
699,1,0,1,1
700,1,0,1,1
701,0,0,0,0
702,0,1,0,0
703,0,0,0,0
704,0,1,1,1
705,1,0,1,1
706,0,1,0,0
707,1,0,0,0
708,1,1,0,0
709,0,0,1,1
710,0,1,0,0
711,0,1,0,0
712,1,1,0,0
713,0,0,0,0
714,0,0,1,1
715,1,0,1,1
716,1,0,1,1
717,0,1,0,0
718,0,1,1,1
719,1,0,0,0
720,1,1,0,0
721,0,1,0,0
722,0,0,1,1
723,0,0,1,1
724,1,0,0,0
725,1,1,0,0
726,0,0,0,0
727,1,0,0,0
728,1,1,1,1
729,0,0,0,0
730,1,0,0,0
731,0,0,0,0
732,0,0,1,1
733,1,0,0,0
734,1,0,1,1
735,0,0,0,0
736,1,1,0,0
737,0,1,0,0
738,1,0,0,0
739,1,0,0,0
740,0,0,1,1
741,0,1,0,0
742,1,0,0,0
743,1,0,1,1
744,0,0,0,0
745,0,0,1,1
746,0,1,1,1
747,1,0,0,0
748,0,1,0,0
749,0,1,0,0
750,0,1,1,1
751,0,0,0,0
752,1,1,1,1
753,0,0,0,0
754,0,1,1,1
755,0,0,0,0
756,1,1,1,1
757,0,0,1,1
758,0,1,1,1
759,0,0,1,1
760,0,0,0,0
761,1,0,0,0
762,1,0,0,0
763,1,1,0,0
764,0,0,1,1
765,0,0,0,0
766,0,0,1,1
767,1,0,1,1
768,0,0,1,1
769,1,0,1,1
770,0,1,1,1
771,1,0,1,1
772,0,0,0,0
773,0,0,1,1
774,1,1,0,0
775,0,0,0,0
776,0,1,0,0
777,1,0,1,1
778,1,0,1,1
779,1,1,0,0
780,0,0,1,1
781,0,0,0,0
782,1,0,1,1
783,0,0,0,0
784,1,0,0,0
785,0,0,1,1
786,0,0,0,0
787,0,1,0,0
788,0,1,1,1
789,0,1,1,1
790,0,1,1,1
791,1,1,1,1
792,0,0,0,0
793,0,1,1,1
794,0,1,1,1
795,1,1,1,1
796,1,1,1,1
797,0,1,1,1
798,0,1,1,1
799,1,1,1,1
800,0,0,0,0
801,0,1,1,1
802,0,1,1,1
803,0,1,1,1
804,0,1,1,1
805,0,1,0,0
806,1,1,0,0
807,1,0,1,1
808,0,0,0,0
809,1,0,0,0
810,0,0,0,0
811,0,0,0,0
812,1,0,0,0
813,1,0,0,0
814,0,1,0,0
815,0,1,1,1
816,0,0,1,1
817,1,1,0,0
818,0,1,0,0
819,1,1,1,1
820,0,1,1,1
821,0,0,0,0
822,0,0,1,1
823,0,0,1,1
824,1,0,0,0
825,0,0,0,0
826,1,1,0,0
827,1,1,0,0
828,1,0,0,0
829,1,1,1,1
830,1,0,0,0
831,0,0,0,0
832,0,0,0,0
833,0,1,1,1
834,0,0,0,0
835,0,0,0,0
836,0,1,0,0
837,1,1,1,1
838,0,0,0,0
839,0,1,0,0
840,1,0,0,0
841,0,0,0,0
842,0,1,1,1
843,0,0,0,0
844,0,0,1,1
845,0,0,0,0
846,0,1,1,1
847,1,1,0,0
848,0,1,0,0
849,0,0,0,0
850,0,0,1,1
851,1,1,0,0
852,0,0,0,0
853,0,1,0,0
854,1,1,0,0
855,0,1,1,1
856,0,1,1,1
857,0,0,1,1
858,0,0,1,1
859,0,1,0,0
860,0,1,0,0
861,0,1,1,1
862,0,1,0,0
863,0,1,0,0
864,0,0,0,0
865,1,0,1,1
866,0,0,0,0
867,0,0,0,0
868,0,0,0,0
869,1,1,1,1
870,0,0,0,0
871,0,0,1,1
872,0,1,1,1
873,1,0,0,0
874,0,1,1,1
875,1,0,1,1
876,1,1,0,0
877,0,1,0,0
878,0,1,1,1
879,1,1,0,0
880,0,1,0,0
881,0,1,1,1
882,0,0,1,1
883,0,1,0,0
884,0,0,1,1
885,1,0,0,0
886,0,1,0,0
887,0,0,1,1
888,0,1,0,0
889,0,1,0,0
890,1,1,1,1
891,0,1,0,0
892,0,1,0,0
893,1,0,1,1
894,0,0,0,0
895,0,0,0,0
896,1,0,0,0
897,0,1,0,0
898,0,1,0,0
899,0,0,0,0
900,0,1,1,1
901,0,0,1,1
902,0,0,1,1
903,1,1,0,0
904,0,1,0,0
905,0,0,0,0
906,1,1,1,1
907,0,0,0,0
908,1,1,0,0
909,1,0,0,0
910,1,0,1,1
911,1,1,0,0
912,0,1,1,1
913,1,0,1,1
914,0,1,0,0
915,0,1,1,1
916,1,0,1,1
917,0,0,0,0
918,1,0,0,0
919,1,1,1,1
920,1,1,1,1
921,0,0,0,0
922,0,1,0,0
923,0,1,0,0
924,0,0,1,1
925,1,1,1,1
926,0,0,1,1
927,0,1,0,0
928,0,0,0,0
929,0,1,0,0
930,0,0,0,0
931,0,0,1,1
932,0,0,0,0
933,1,0,1,1
934,1,1,0,0
935,0,1,1,1
936,1,0,0,0
937,0,0,1,1
938,0,0,1,1
939,0,1,1,1
940,1,0,0,0
941,1,0,0,0
942,0,0,1,1
943,0,0,0,0
944,0,0,1,1
945,1,1,1,1
946,0,0,1,1
947,0,0,1,1
948,1,0,0,0
949,0,1,0,0
950,0,0,0,0
951,0,0,0,0
952,1,1,1,1
953,0,0,0,0
954,1,0,0,0
955,1,0,1,1
956,0,1,1,1
957,0,0,0,0
958,0,1,1,1
959,0,1,0,0
960,1,1,0,0
961,0,0,1,1
962,1,1,0,0
963,1,0,1,1
964,1,1,0,0
965,0,1,0,0
966,0,1,1,1
967,1,1,0,0
968,0,0,1,1
969,1,0,1,1
970,0,0,0,0
971,0,1,0,0
972,1,1,1,1
973,0,0,0,0
974,0,0,0,0
975,0,1,0,0
976,1,1,1,1
977,0,0,1,1
978,0,0,1,1
979,1,0,0,0
980,1,1,0,0
981,1,1,0,0
982,1,0,1,1
983,0,0,1,1
984,1,1,0,0
985,0,0,0,0
986,0,1,0,0
987,0,0,0,0
988,0,0,0,0
989,0,0,0,0
990,1,1,1,1
991,0,1,1,1
992,0,1,0,0
993,0,1,1,1
994,1,0,0,0
995,0,0,0,0
996,0,0,1,1
997,0,1,1,1
998,1,0,0,0
999,1,0,1,1
