,A1,A3,A5,A7,dui/cuo
91,1,0,0,0,0
92,0,1,0,0,0
93,0,1,1,1,1
94,0,0,1,0,0
95,0,0,1,0,0
96,0,0,0,0,0
97,1,0,0,0,0
98,1,1,1,0,0
99,1,0,1,1,1
100,1,1,0,0,0
101,0,1,1,1,1
102,1,0,0,0,0
103,0,0,0,1,1
104,1,1,1,1,1
105,1,1,1,0,0
106,0,0,1,0,0
107,1,0,1,1,1
108,0,0,0,0,0
109,1,0,0,0,0
110,0,0,0,0,0
111,0,0,0,0,0
112,1,0,0,0,0
113,0,0,1,0,0
114,0,0,1,1,1
115,0,0,1,0,0
116,0,0,0,1,1
117,1,0,1,1,1
118,1,1,1,0,0
119,1,0,1,1,1
120,0,0,0,0,0
121,0,0,1,1,1
122,1,0,1,0,0
123,1,0,1,0,0
124,1,1,0,0,0
125,0,0,1,0,0
126,1,1,1,1,1
127,0,0,1,1,1
128,1,1,1,1,1
129,1,0,1,1,1
130,1,1,0,0,0
131,0,0,1,1,1
132,1,1,1,0,0
133,0,1,1,1,1
134,0,0,0,0,0
135,0,0,0,0,0
136,0,0,1,0,0
137,1,1,0,1,1
138,1,0,0,1,1
139,1,1,1,1,1
140,1,1,0,0,0
141,0,1,1,0,0
142,0,1,1,1,1
143,1,1,0,1,1
144,0,0,1,1,1
145,1,0,0,0,0
146,0,1,1,1,1
147,1,0,0,0,0
148,0,0,0,0,0
149,0,0,0,1,1
150,0,0,1,0,0
151,0,1,1,1,1
152,0,0,1,0,0
153,0,1,0,0,0
154,0,0,0,0,0
155,1,0,1,0,0
156,1,1,0,0,0
157,0,1,1,1,1
158,0,0,0,0,0
159,1,0,0,0,0
160,1,0,0,0,0
161,0,1,1,0,0
162,0,0,0,1,1
163,1,1,1,0,0
164,0,0,1,0,0
165,0,0,1,1,1
166,0,1,1,1,1
167,1,0,0,0,0
168,0,1,1,1,1
169,0,0,0,0,0
170,0,0,1,0,0
171,0,1,0,1,1
172,0,0,0,0,0
173,1,0,0,0,0
174,0,0,0,1,1
175,0,0,1,0,0
176,0,0,1,1,1
177,0,1,0,0,0
178,0,0,1,0,0
179,0,1,1,0,0
180,0,0,0,1,1
181,0,0,1,0,0
182,1,0,0,0,0
183,1,0,1,0,0
184,0,1,0,0,0
185,0,1,0,0,0
186,1,1,1,0,0
187,0,0,0,1,1
188,0,0,0,1,1
189,0,0,0,0,0
190,0,0,0,0,0
191,0,1,0,0,0
192,0,0,1,1,1
193,1,1,1,1,1
194,1,0,0,0,0
195,1,1,0,1,1
196,0,0,0,1,1
197,0,0,0,1,1
198,1,0,0,1,1
199,0,1,1,0,0
200,0,0,1,0,0
201,0,1,0,1,1
202,1,0,0,0,0
203,0,1,0,0,0
204,1,0,0,0,0
205,0,0,1,0,0
206,0,0,1,1,1
207,0,1,0,0,0
208,1,1,0,1,1
209,0,1,1,0,0
210,1,0,1,1,1
211,0,1,1,0,0
212,0,0,0,1,1
213,0,0,1,0,0
214,0,1,0,1,1
215,0,0,0,0,0
216,0,1,1,1,1
217,0,0,1,0,0
218,0,0,1,0,0
219,0,1,1,1,1
220,1,0,0,1,1
221,1,0,1,1,1
222,0,0,0,1,1
223,1,0,0,0,0
224,0,1,1,0,0
225,0,0,1,1,1
226,0,1,1,1,1
227,0,1,1,1,1
228,1,1,0,0,0
229,1,1,1,0,0
230,0,1,1,1,1
231,1,1,0,0,0
232,0,0,1,1,1
233,1,1,0,1,1
234,0,1,1,0,0
235,0,0,0,0,0
236,1,0,1,0,0
237,0,1,1,0,0
238,0,0,0,1,1
239,0,0,0,1,1
240,0,1,1,0,0
241,0,0,0,0,0
242,1,1,0,0,0
243,1,0,0,0,0
244,0,1,1,0,0
245,1,0,1,1,1
246,0,1,1,1,1
247,0,0,1,1,1
248,0,1,1,1,1
249,0,1,0,0,0
250,0,1,0,0,0
251,1,0,0,0,0
252,0,0,0,0,0
253,1,0,0,1,1
254,1,0,0,0,0
255,0,0,1,0,0
256,0,1,1,1,1
257,1,0,0,0,0
258,0,0,0,1,1
259,0,0,0,1,1
260,0,0,1,1,1
261,0,1,1,0,0
262,1,1,1,0,0
263,1,1,1,0,0
264,1,0,1,0,0
265,0,1,0,0,0
266,1,1,0,0,0
267,1,0,1,0,0
268,0,1,1,1,1
269,0,1,1,1,1
270,0,0,0,0,0
271,1,1,0,1,1
272,0,0,0,1,1
273,0,0,1,0,0
274,0,0,0,1,1
275,1,0,1,1,1
276,1,1,1,0,0
277,0,1,1,0,0
278,1,1,1,1,1
279,0,0,0,0,0
280,0,0,0,0,0
281,1,0,0,0,0
282,0,0,1,0,0
283,1,0,1,1,1
284,1,1,1,0,0
285,1,0,1,1,1
286,0,1,1,1,1
287,1,1,0,0,0
288,0,1,1,1,1
289,1,0,0,1,1
290,0,0,1,1,1
291,0,0,0,0,0
292,1,0,1,1,1
293,1,1,1,0,0
294,0,0,0,1,1
295,0,1,1,0,0
296,0,1,0,0,0
297,0,1,1,0,0
298,1,0,0,1,1
299,0,1,1,1,1
300,1,0,1,1,1
301,0,0,1,0,0
302,0,0,0,0,0
303,0,0,1,1,1
304,1,1,1,1,1
305,0,0,0,1,1
306,1,1,1,1,1
307,1,1,0,1,1
308,1,0,0,0,0
309,0,0,1,0,0
310,0,0,1,0,0
311,1,0,0,0,0
312,1,0,0,0,0
313,0,1,0,1,1
314,0,0,0,0,0
315,0,0,1,1,1
316,1,1,0,1,1
317,0,0,0,1,1
318,0,1,0,0,0
319,1,1,1,0,0
320,1,1,0,1,1
321,1,0,1,1,1
322,0,1,0,0,0
323,0,0,1,1,1
324,1,1,0,0,0
325,0,0,1,0,0
326,1,1,0,0,0
327,0,1,1,0,0
328,0,0,1,0,0
329,1,0,1,0,0
330,0,1,1,1,1
331,0,1,1,1,1
332,0,1,1,1,1
333,1,1,0,0,0
334,1,1,1,1,1
335,1,0,1,1,1
336,1,1,0,1,1
337,1,1,1,1,1
338,1,0,1,1,1
339,1,1,0,0,0
340,0,0,1,1,1
341,0,0,0,1,1
342,1,0,0,1,1
343,1,1,0,1,1
344,1,1,0,1,1
345,0,1,1,0,0
346,1,1,1,0,0
347,1,0,1,1,1
348,1,0,1,0,0
349,1,0,0,0,0
350,1,1,1,0,0
351,0,0,0,0,0
352,0,0,1,0,0
353,1,0,1,1,1
354,0,1,1,0,0
355,0,1,1,1,1
356,1,0,1,1,1
357,1,0,0,0,0
358,0,1,1,0,0
359,0,1,1,1,1
360,0,0,1,0,0
361,1,1,1,0,0
362,1,0,0,0,0
363,0,0,1,0,0
364,0,0,0,1,1
365,0,1,0,0,0
366,0,0,0,1,1
367,0,1,1,1,1
368,1,0,1,1,1
369,1,0,0,0,0
370,0,1,1,0,0
371,0,0,1,1,1
372,1,0,0,1,1
373,0,1,1,0,0
374,0,1,0,1,1
375,1,0,0,0,0
376,1,0,1,0,0
377,0,0,1,0,0
378,0,1,0,0,0
379,1,0,1,0,0
380,1,1,0,0,0
381,1,1,0,1,1
382,0,0,1,0,0
383,0,1,0,0,0
384,0,1,1,0,0
385,1,0,0,0,0
386,1,0,0,1,1
387,1,1,1,1,1
388,0,1,1,1,1
389,1,1,1,1,1
390,0,0,0,1,1
391,1,0,0,0,0
392,1,0,0,0,0
393,0,0,0,1,1
394,0,0,1,0,0
395,1,1,1,0,0
396,0,0,1,0,0
397,0,0,1,0,0
398,1,1,0,0,0
399,0,0,0,0,0
400,1,1,1,0,0
401,1,0,0,0,0
402,1,1,1,0,0
403,1,1,1,1,1
404,0,0,1,1,1
405,0,0,1,1,1
406,1,0,0,1,1
407,0,0,1,1,1
408,0,1,1,0,0
409,0,0,0,0,0
410,0,0,1,1,1
411,0,0,0,1,1
412,0,0,0,0,0
413,1,1,1,1,1
414,0,1,1,0,0
415,0,0,1,0,0
416,0,1,0,0,0
417,0,1,0,0,0
418,1,0,0,0,0
419,1,1,1,1,1
420,0,1,1,1,1
421,0,0,0,0,0
422,1,1,0,0,0
423,1,1,1,1,1
424,0,1,1,1,1
425,0,1,1,0,0
426,1,1,0,0,0
427,0,0,0,1,1
428,0,0,0,1,1
429,1,0,0,1,1
430,1,0,0,1,1
431,0,0,0,0,0
432,0,0,0,0,0
433,1,0,1,0,0
434,0,0,1,0,0
435,0,1,1,0,0
436,1,1,1,1,1
437,1,1,1,0,0
438,1,0,0,0,0
439,0,1,0,1,1
440,0,0,0,0,0
441,1,0,1,0,0
442,0,0,1,1,1
443,1,0,1,1,1
444,0,1,1,0,0
445,0,0,1,0,0
446,0,1,0,1,1
447,1,1,1,0,0
448,0,1,0,1,1
449,0,1,0,0,0
450,0,1,0,0,0
451,0,0,0,1,1
452,0,0,0,0,0
453,0,1,0,0,0
454,0,1,1,0,0
455,0,1,1,0,0
456,0,1,0,0,0
457,1,1,1,0,0
458,1,1,1,1,1
459,0,1,1,1,1
460,1,0,1,0,0
461,0,0,0,0,0
462,0,0,0,1,1
463,0,1,0,0,0
464,1,0,0,1,1
465,0,1,1,0,0
466,1,1,0,1,1
467,1,1,0,0,0
468,0,0,1,1,1
469,0,1,0,0,0
470,0,0,0,1,1
471,0,1,0,0,0
472,1,0,0,0,0
473,0,0,0,0,0
474,0,1,0,0,0
475,1,0,1,0,0
476,0,1,0,1,1
477,1,1,0,1,1
478,0,0,1,0,0
479,0,1,1,0,0
480,0,1,0,0,0
481,1,0,1,0,0
482,0,1,0,0,0
483,1,0,1,0,0
484,1,0,1,0,0
485,0,0,0,0,0
486,1,0,0,0,0
487,0,0,0,0,0
488,1,1,1,1,1
489,0,0,1,0,0
490,1,0,0,0,0
491,1,0,1,1,1
492,0,0,1,1,1
493,1,0,1,0,0
494,0,0,0,1,1
495,0,1,0,1,1
496,0,0,0,0,0
497,1,1,1,0,0
498,1,1,1,0,0
499,0,1,1,0,0
500,0,1,1,1,1
501,0,1,1,0,0
502,1,0,0,0,0
503,0,0,1,1,1
504,1,1,0,1,1
505,0,0,0,1,1
506,1,0,1,0,0
507,0,0,0,0,0
508,1,0,1,1,1
509,1,1,1,0,0
510,0,0,1,1,1
511,0,0,0,0,0
512,0,1,1,0,0
513,0,1,1,0,0
514,1,0,0,1,1
515,0,0,0,0,0
516,0,0,1,1,1
517,1,1,0,0,0
518,0,0,0,1,1
519,0,0,1,0,0
520,0,0,1,0,0
521,0,1,0,1,1
522,1,0,0,0,0
523,1,0,0,0,0
524,0,0,0,0,0
525,0,1,0,0,0
526,1,1,0,0,0
527,0,1,1,1,1
528,0,1,1,1,1
529,0,0,1,0,0
530,0,0,0,1,1
531,0,0,1,0,0
532,1,0,1,1,1
533,0,1,0,0,0
534,1,0,1,1,1
535,0,1,0,0,0
536,1,1,0,1,1
537,0,0,1,0,0
538,1,0,0,0,0
539,1,0,1,0,0
540,1,1,0,1,1
541,0,0,1,0,0
542,0,0,0,0,0
543,1,0,0,0,0
544,0,1,1,0,0
545,1,0,1,0,0
546,1,0,1,0,0
547,0,1,0,1,1
548,0,0,1,0,0
549,1,1,1,1,1
550,0,0,0,0,0
551,1,0,0,0,0
552,0,1,1,0,0
553,1,0,1,1,1
554,1,1,1,1,1
555,1,0,1,0,0
556,1,1,0,1,1
557,1,1,1,1,1
558,0,0,0,0,0
559,0,0,1,0,0
560,1,0,0,0,0
561,0,0,0,1,1
562,0,1,0,0,0
563,1,1,0,0,0
564,1,0,0,0,0
565,1,1,0,0,0
566,0,0,0,1,1
567,0,0,0,0,0
568,0,1,0,0,0
569,0,0,0,1,1
570,0,0,0,0,0
571,1,0,1,1,1
572,1,0,1,1,1
573,1,1,0,0,0
574,0,0,0,0,0
575,0,1,0,0,0
576,0,0,1,1,1
577,0,0,0,0,0
578,0,1,1,0,0
579,0,0,1,1,1
580,1,1,0,1,1
581,0,0,0,0,0
582,1,1,1,0,0
583,0,1,0,0,0
584,0,1,1,1,1
585,0,0,0,0,0
586,1,0,0,0,0
587,0,1,1,0,0
588,0,0,0,0,0
589,1,1,0,0,0
590,0,0,1,1,1
591,1,1,1,0,0
592,0,1,1,1,1
593,1,0,0,0,0
594,0,0,1,0,0
595,1,0,0,1,1
596,0,0,0,1,1
597,0,0,0,1,1
598,0,0,1,1,1
599,0,1,0,1,1
600,0,0,0,1,1
601,1,0,1,0,0
602,1,0,1,0,0
603,0,0,1,0,0
604,0,1,1,0,0
605,0,1,0,1,1
606,0,0,1,1,1
607,1,0,0,1,1
608,1,0,0,1,1
609,0,0,1,0,0
610,0,0,0,1,1
611,0,1,1,0,0
612,0,1,1,0,0
613,1,1,1,0,0
614,1,1,0,1,1
615,0,0,0,0,0
616,0,0,0,1,1
617,0,1,1,0,0
618,0,1,0,0,0
619,0,1,1,1,1
620,0,1,0,0,0
621,1,1,0,0,0
622,0,0,1,0,0
623,1,0,0,1,1
624,1,1,0,0,0
625,1,0,0,0,0
626,1,0,0,0,0
627,0,0,0,0,0
628,0,0,0,0,0
629,1,1,0,0,0
630,0,0,1,0,0
631,1,0,0,1,1
632,1,0,1,1,1
633,1,0,1,1,1
634,0,0,1,1,1
635,0,0,0,0,0
636,1,0,0,1,1
637,0,0,1,0,0
638,0,0,0,1,1
639,0,0,0,1,1
640,1,0,0,1,1
641,1,0,1,1,1
642,0,0,1,1,1
643,1,1,0,0,0
644,1,1,0,0,0
645,0,0,0,1,1
646,1,1,0,0,0
647,1,0,0,0,0
648,1,0,0,0,0
649,1,1,1,1,1
650,0,0,0,0,0
651,0,1,1,1,1
652,0,0,1,1,1
653,0,0,0,1,1
654,0,0,0,0,0
655,1,1,0,1,1
656,1,0,0,0,0
657,1,1,0,1,1
658,1,0,1,1,1
659,0,1,1,0,0
660,0,0,0,0,0
661,0,1,1,0,0
662,0,0,0,0,0
663,1,0,1,0,0
664,0,1,1,0,0
665,0,1,1,0,0
666,0,0,0,0,0
667,0,0,0,1,1
668,0,1,1,1,1
669,1,0,1,1,1
670,0,1,0,0,0
671,0,1,0,1,1
672,0,0,1,1,1
673,1,1,1,0,0
674,0,0,1,0,0
675,0,0,1,0,0
676,1,0,0,1,1
677,1,1,0,1,1
678,1,1,1,1,1
679,0,0,0,0,0
680,0,1,0,1,1
681,0,1,1,0,0
682,0,1,0,0,0
683,0,0,0,0,0
684,0,1,1,1,1
685,1,0,1,0,0
686,1,0,1,1,1
687,1,0,1,1,1
688,0,1,0,0,0
689,0,1,0,1,1
690,0,1,1,1,1
691,1,0,0,0,0
692,1,0,1,1,1
693,1,1,0,1,1
694,0,1,0,0,0
695,0,0,1,0,0
696,0,1,1,1,1
697,0,0,0,0,0
698,0,0,0,0,0
699,1,0,0,1,1
700,0,0,1,0,0
701,1,1,0,1,1
702,0,1,1,1,1
703,0,1,1,0,0
704,1,1,0,1,1
705,0,0,0,1,1
706,0,0,0,0,0
707,1,1,1,0,0
708,0,0,0,1,1
709,0,0,1,0,0
710,0,1,1,0,0
711,0,0,1,0,0
712,1,1,0,0,0
713,1,0,1,1,1
714,0,1,1,0,0
715,1,1,0,1,1
716,1,1,0,1,1
717,1,0,1,1,1
718,1,1,1,0,0
719,0,1,0,1,1
720,1,1,1,0,0
721,1,1,1,0,0
722,1,1,1,1,1
723,0,0,1,1,1
724,1,1,1,0,0
725,0,0,1,1,1
726,0,1,0,1,1
727,0,0,0,1,1
728,0,1,1,1,1
729,0,0,0,1,1
730,1,1,0,1,1
731,0,0,1,0,0
732,1,1,1,1,1
733,0,1,1,0,0
734,1,0,0,0,0
735,1,0,1,0,0
736,0,0,1,0,0
737,0,1,0,0,0
738,0,0,0,1,1
739,0,0,1,1,1
740,1,0,0,1,1
741,1,1,1,1,1
742,1,1,1,0,0
743,0,0,0,1,1
744,0,1,1,1,1
745,1,1,1,1,1
746,0,1,0,0,0
747,0,0,1,0,0
748,1,1,1,1,1
749,0,0,0,0,0
750,0,0,1,1,1
751,0,1,1,0,0
752,0,0,0,1,1
753,0,1,0,0,0
754,1,0,0,0,0
755,0,0,0,0,0
756,1,0,0,1,1
757,0,0,0,1,1
758,0,1,1,1,1
759,0,0,0,1,1
760,0,0,0,0,0
761,1,0,0,1,1
762,0,0,1,1,1
763,0,0,1,0,0
764,0,0,1,1,1
765,0,0,0,0,0
766,0,1,0,0,0
767,1,1,0,1,1
768,0,0,0,0,0
769,1,0,0,1,1
770,1,1,1,1,1
771,1,0,0,0,0
772,1,1,1,0,0
773,0,1,1,1,1
774,0,1,0,1,1
775,1,0,0,1,1
776,1,0,0,0,0
777,0,0,1,1,1
778,0,0,0,1,1
779,1,1,0,0,0
780,0,1,0,1,1
781,0,0,0,0,0
782,0,0,0,0,0
783,1,0,0,0,0
784,1,0,0,1,1
785,0,0,0,1,1
786,0,0,1,0,0
787,0,1,1,1,1
788,0,0,1,1,1
789,0,0,1,1,1
790,0,0,1,0,0
791,0,1,0,0,0
792,1,0,0,0,0
793,0,1,1,0,0
794,1,1,1,0,0
795,0,1,1,1,1
796,0,1,1,1,1
797,1,0,0,1,1
798,0,1,0,1,1
799,1,1,1,0,0
800,1,0,0,0,0
801,0,0,1,1,1
802,0,0,1,0,0
803,0,0,0,1,1
804,1,0,1,1,1
805,0,0,1,1,1
806,0,0,0,0,0
807,0,0,0,0,0
808,0,0,1,1,1
809,0,0,0,1,1
810,0,0,0,1,1
811,0,0,1,0,0
812,0,1,1,1,1
813,1,0,0,0,0
814,0,0,0,0,0
815,0,0,0,0,0
816,0,0,0,1,1
817,1,1,0,0,0
818,0,0,0,0,0
819,0,0,1,0,0
820,0,0,0,1,1
821,1,1,1,0,0
822,0,0,0,1,1
823,1,0,0,0,0
824,1,0,1,0,0
825,0,1,1,0,0
826,0,0,0,0,0
827,0,1,1,0,0
828,1,1,0,1,1
829,0,0,0,0,0
830,0,0,0,0,0
831,0,0,0,1,1
832,0,0,0,1,1
833,1,1,1,0,0
834,0,1,0,0,0
835,1,1,0,0,0
836,0,1,0,1,1
837,1,0,0,1,1
838,0,0,0,0,0
839,0,1,1,1,1
840,1,0,0,1,1
841,0,0,1,0,0
842,0,1,1,1,1
843,1,1,0,0,0
844,1,1,1,0,0
845,0,0,0,1,1
846,1,1,0,0,0
847,0,0,0,1,1
848,0,0,0,1,1
849,1,0,0,1,1
850,0,0,1,1,1
851,0,0,0,0,0
852,0,0,0,0,0
853,0,0,1,1,1
854,1,1,0,0,0
855,1,1,1,0,0
856,0,1,1,0,0
857,0,0,1,1,1
858,0,0,1,1,1
859,0,0,0,0,0
860,1,1,1,0,0
861,1,1,1,0,0
862,0,1,1,1,1
863,0,0,0,1,1
864,1,0,1,0,0
865,1,0,0,0,0
866,1,0,0,1,1
867,0,0,0,0,0
868,1,0,1,1,1
869,0,0,1,0,0
870,0,0,1,1,1
871,0,0,0,0,0
872,1,0,1,0,0
873,1,0,1,0,0
874,0,1,1,0,0
875,1,1,0,0,0
876,1,0,1,1,1
877,0,0,1,1,1
878,1,0,0,1,1
879,0,0,0,0,0
880,1,1,1,0,0
881,1,1,1,0,0
882,0,0,1,0,0
883,0,1,1,0,0
884,0,0,0,0,0
885,1,0,0,0,0
886,1,1,1,0,0
887,1,0,0,1,1
888,1,0,0,0,0
889,0,1,0,0,0
890,0,0,1,1,1
891,1,0,1,0,0
892,0,0,0,0,0
893,0,0,0,0,0
894,1,0,1,1,1
895,1,0,0,0,0
896,0,1,0,1,1
897,0,0,0,0,0
898,0,0,0,0,0
899,0,0,0,1,1
900,0,0,0,0,0
901,1,0,1,1,1
902,0,1,1,1,1
903,0,1,1,0,0
904,0,0,0,1,1
905,0,1,0,0,0
906,0,0,1,0,0
907,0,0,0,0,0
908,0,0,0,0,0
909,0,0,0,1,1
910,0,1,0,0,0
911,0,0,1,0,0
912,0,1,0,0,0
913,0,0,1,1,1
914,1,1,1,1,1
915,0,0,1,0,0
916,0,1,1,0,0
917,1,1,0,1,1
918,1,1,0,1,1
919,1,1,0,1,1
920,1,1,1,1,1
921,0,1,1,0,0
922,0,1,1,1,1
923,1,1,1,1,1
924,0,1,1,0,0
925,0,1,0,1,1
926,0,0,1,0,0
927,1,1,1,0,0
928,1,0,1,0,0
929,0,1,0,1,1
930,1,1,1,1,1
931,0,0,0,0,0
932,0,1,1,1,1
933,1,0,1,0,0
934,0,0,0,0,0
935,1,1,1,0,0
936,0,1,0,1,1
937,0,0,1,0,0
938,1,0,1,1,1
939,1,1,0,0,0
940,0,0,0,0,0
941,1,1,0,0,0
942,0,1,0,1,1
943,1,1,1,1,1
944,1,0,0,1,1
945,0,0,0,0,0
946,1,1,1,1,1
947,0,1,0,1,1
948,0,0,0,1,1
949,0,0,1,0,0
950,0,0,0,1,1
951,0,1,1,1,1
952,0,0,0,0,0
953,0,1,0,1,1
954,0,0,1,1,1
955,0,1,1,1,1
956,0,0,1,0,0
957,0,1,1,0,0
958,0,1,1,1,1
959,1,0,0,0,0
960,0,1,1,0,0
961,0,0,1,0,0
962,0,1,0,0,0
963,1,0,1,0,0
964,1,0,1,1,1
965,0,1,0,0,0
966,0,0,0,1,1
967,0,1,1,0,0
968,1,0,0,0,0
969,0,0,0,0,0
970,1,1,0,1,1
971,1,1,1,0,0
972,1,0,0,1,1
973,0,1,1,1,1
974,1,1,1,0,0
975,0,0,1,1,1
976,0,0,0,1,1
977,1,1,1,0,0
978,0,0,1,0,0
979,1,0,0,1,1
980,1,1,1,1,1
981,0,1,1,1,1
982,0,0,0,0,0
983,1,0,0,1,1
984,0,1,1,1,1
985,0,0,0,0,0
986,0,1,0,1,1
987,1,0,0,1,1
988,0,0,1,0,0
989,0,1,1,1,1
990,0,0,1,1,1
991,0,1,0,1,1
992,1,0,1,0,0
993,0,1,0,0,0
994,0,1,0,1,1
995,0,0,0,0,0
996,0,0,0,0,0
997,1,0,0,0,0
998,0,1,0,1,1
999,1,0,0,0,0
