,A1,A2,A3,A4,A5,A6,A7
399,0,1,1,1,0,1,0
400,0,1,1,0,1,1,0
401,1,1,1,1,0,1,1
402,1,0,0,0,1,1,1
403,0,0,0,0,1,0,1
404,0,1,1,0,1,1,1
405,1,1,1,1,1,1,1
406,0,1,1,0,1,1,0
407,1,0,0,0,1,1,1
408,1,0,1,1,1,0,1
409,1,0,0,0,1,1,1
410,0,0,0,1,1,1,1
411,1,1,0,0,1,1,1
412,1,1,1,0,0,1,0
413,1,1,1,1,1,1,0
414,0,1,1,1,1,1,0
415,1,0,1,0,1,0,1
416,1,0,1,0,1,1,1
417,1,0,1,1,1,1,0
418,1,0,1,1,1,0,1
419,1,0,1,0,1,0,0
420,1,1,1,1,0,1,1
421,1,1,0,0,1,1,1
422,1,1,1,1,0,0,1
423,1,1,0,1,0,0,0
424,1,0,1,1,1,1,1
425,0,1,0,1,1,1,1
426,1,1,0,1,0,1,1
427,1,0,1,1,1,1,1
428,1,1,1,1,0,1,1
429,0,1,1,1,1,1,1
430,0,0,1,1,0,1,1
431,0,1,1,1,1,1,0
432,1,1,1,1,0,1,0
433,1,1,1,0,0,1,1
434,1,1,1,1,1,0,1
435,1,1,0,0,1,0,1
436,1,1,0,1,1,1,1
437,0,0,0,0,0,1,1
438,1,1,0,0,0,1,1
439,1,1,1,0,1,1,1
440,0,1,0,0,0,1,1
441,0,1,1,0,0,1,0
442,1,0,1,0,1,0,0
443,0,1,1,0,1,0,1
444,0,1,0,1,1,1,1
445,1,1,1,1,1,1,1
446,1,0,1,1,0,1,0
447,1,1,1,1,1,0,1
448,1,0,1,0,1,1,1
449,1,1,1,0,1,0,1
450,0,1,1,1,0,0,1
451,1,1,1,1,0,0,1
452,1,1,1,1,1,1,1
453,1,1,1,0,1,1,1
454,1,0,0,1,1,0,0
455,1,1,1,1,1,1,0
456,1,1,1,1,1,0,1
457,1,1,1,1,1,1,1
458,1,1,0,0,0,0,0
459,0,1,0,1,1,1,1
460,1,1,0,1,1,1,1
461,0,0,1,1,1,0,1
462,1,1,1,1,1,0,1
463,1,1,1,1,1,0,0
464,1,1,0,1,1,1,1
465,1,1,0,1,0,0,1
466,1,1,1,0,1,1,0
467,0,1,0,1,1,0,1
468,0,0,1,0,0,1,0
469,1,0,1,1,1,0,0
470,1,0,1,0,0,1,1
471,1,1,1,1,0,0,1
472,1,1,1,1,0,0,1
473,0,1,1,1,1,1,1
474,1,0,0,0,1,1,1
475,0,1,1,0,0,0,0
476,0,1,0,0,0,1,0
477,1,1,1,0,1,0,1
478,1,1,0,1,0,1,1
479,1,0,0,1,1,1,0
480,1,0,1,1,1,0,0
481,1,1,1,1,1,0,1
482,0,0,1,0,1,1,1
483,1,0,1,0,1,1,1
484,0,0,1,1,1,1,1
485,0,1,0,1,0,1,1
486,1,1,1,0,1,1,0
487,0,1,0,0,1,0,0
488,1,1,1,0,1,0,1
489,1,0,1,1,1,0,0
490,0,1,1,1,1,0,0
491,0,1,1,1,1,1,1
492,1,1,1,0,0,1,1
493,1,0,0,1,1,0,0
494,1,1,0,1,0,0,0
495,1,1,0,1,1,0,1
496,1,0,1,1,1,1,1
497,0,0,0,1,1,1,0
498,1,0,0,1,1,0,0
499,1,0,0,1,0,1,1
500,1,0,1,1,0,0,1
501,0,0,0,1,1,1,0
502,1,1,1,1,0,1,0
503,1,1,1,1,1,0,1
504,1,1,1,1,1,1,0
505,1,1,0,0,0,1,0
506,0,0,1,0,1,1,1
507,1,1,1,1,0,1,0
508,1,0,1,0,1,1,1
509,1,1,1,1,1,1,1
510,1,1,1,1,1,1,1
511,0,1,1,0,1,1,1
512,0,1,1,1,1,0,1
513,1,1,1,0,1,0,0
514,0,0,1,1,0,1,1
515,1,0,0,1,0,1,0
516,0,1,1,1,0,1,0
517,1,0,1,1,0,1,1
518,0,1,0,1,0,0,1
519,1,1,1,0,1,0,0
520,0,0,0,0,0,1,1
521,0,1,1,1,1,0,0
522,0,0,1,1,0,1,1
523,0,1,1,0,1,0,1
524,1,1,1,1,1,0,0
525,0,1,0,1,0,1,0
526,0,0,1,1,0,1,0
527,1,0,0,1,1,1,0
528,0,1,1,0,0,1,1
529,1,1,1,0,1,1,0
530,0,0,0,1,1,1,0
531,0,1,0,1,1,1,1
532,0,1,0,1,1,0,1
533,1,1,1,1,0,0,0
534,0,1,1,1,1,1,0
535,1,1,1,0,1,1,0
536,1,0,1,0,1,0,1
537,0,1,1,1,0,1,1
538,1,1,0,0,0,0,0
539,0,1,0,1,1,0,1
540,1,1,1,1,0,0,1
541,0,1,0,0,0,1,1
542,1,1,1,1,1,1,1
543,0,1,1,0,0,0,1
544,1,1,0,0,1,1,1
545,0,0,0,0,1,0,0
546,0,0,1,0,0,1,1
547,1,1,0,0,1,0,0
548,0,1,1,0,1,1,1
549,1,0,1,1,1,1,1
550,1,1,1,1,0,1,1
551,1,1,0,1,1,1,1
552,1,1,1,1,1,0,0
553,0,1,1,1,0,1,0
554,1,0,1,0,1,1,0
555,0,1,1,1,0,0,0
556,1,1,1,1,1,1,1
557,1,0,1,1,1,1,0
558,1,1,1,1,0,1,0
559,1,1,1,1,1,1,0
560,1,0,1,1,0,1,1
561,0,0,1,0,1,1,1
562,0,0,1,0,1,1,1
563,0,1,0,0,1,1,1
564,1,1,1,0,0,1,1
565,0,1,1,1,0,1,1
566,0,0,1,1,1,1,0
567,0,0,1,1,1,1,1
568,0,1,1,1,1,1,0
569,0,0,1,1,0,1,0
570,1,0,1,1,1,0,0
571,1,0,1,0,1,0,1
572,1,1,1,1,1,0,0
573,0,0,0,0,0,1,1
574,1,0,0,0,1,0,1
575,1,1,1,1,0,0,1
576,1,1,1,0,0,1,1
577,0,0,1,0,1,0,1
578,0,0,1,0,0,1,1
579,0,1,1,0,1,1,1
580,0,0,0,0,0,1,0
581,0,1,0,1,0,1,1
582,1,1,1,1,1,0,1
583,0,1,1,1,1,0,0
584,1,1,0,0,1,0,1
585,1,0,0,1,0,1,1
586,1,1,1,1,1,1,1
587,1,1,0,0,1,1,1
588,1,1,1,1,1,1,0
589,1,1,0,1,1,1,1
590,1,0,1,1,1,1,0
591,0,0,1,0,1,0,1
592,0,0,0,0,1,0,0
593,1,1,0,1,1,1,0
594,1,1,1,1,1,1,1
595,1,1,1,1,1,1,1
596,0,1,0,1,1,0,0
597,0,1,1,1,0,0,1
598,0,0,0,1,1,1,1
599,0,0,0,0,1,1,1
600,0,1,1,1,1,1,1
601,1,1,0,1,0,1,0
602,1,0,1,1,0,0,1
603,1,1,0,0,1,0,1
604,1,1,1,1,1,1,0
605,1,0,0,1,0,0,0
606,1,1,1,1,0,0,1
607,0,1,0,0,1,1,1
608,1,0,0,1,1,0,1
609,1,1,0,0,1,1,1
610,0,0,1,1,1,1,0
611,1,1,1,1,0,0,0
612,1,1,0,1,0,0,0
613,1,1,0,1,1,1,1
614,1,0,0,1,1,1,1
615,1,1,1,1,1,1,0
616,0,1,0,1,0,1,0
617,1,1,1,0,1,0,0
618,1,1,1,1,1,0,1
619,0,1,0,1,0,1,0
620,1,1,1,0,1,1,1
621,0,0,1,1,0,0,0
622,1,0,1,1,1,0,1
623,1,1,1,1,1,1,1
624,1,1,0,0,1,1,1
625,1,1,1,1,1,1,1
626,1,1,0,1,1,1,1
627,1,1,1,0,1,1,1
628,1,0,1,1,0,1,0
629,1,1,1,0,1,0,0
630,1,0,0,1,0,0,1
631,0,1,0,1,1,0,0
632,0,1,1,0,0,1,1
633,0,1,0,0,1,1,1
634,0,1,0,1,0,0,1
635,0,1,0,1,1,1,0
636,1,0,0,1,0,0,0
637,1,0,0,0,0,0,0
638,1,0,1,1,0,1,0
639,1,1,1,1,0,1,1
640,0,1,1,1,1,0,1
641,0,0,1,0,1,1,1
642,1,0,1,1,1,1,0
643,0,0,1,1,1,1,1
644,0,0,1,0,1,0,0
645,1,1,1,1,1,0,1
646,0,0,1,0,0,0,1
647,1,1,1,0,0,0,1
648,1,0,1,0,1,0,1
649,1,0,0,1,1,0,1
650,1,1,1,0,1,1,1
651,0,0,1,0,0,1,1
652,0,0,1,1,0,1,1
653,0,1,1,1,1,1,0
654,1,1,1,1,1,0,1
655,1,1,1,1,1,1,0
656,0,1,0,1,1,1,0
657,1,0,0,1,0,1,1
658,0,1,1,1,0,1,0
659,0,1,1,1,0,1,1
660,1,1,1,0,1,0,1
661,1,1,1,1,1,1,0
662,0,0,1,0,0,0,0
663,0,1,1,1,1,0,0
664,0,1,1,1,1,0,1
665,0,1,1,1,0,1,1
666,1,1,0,0,0,0,0
667,1,1,1,0,0,1,0
668,0,1,1,1,1,1,1
669,0,1,1,0,1,0,0
670,1,1,1,1,1,0,1
671,1,1,1,0,1,1,0
672,1,1,0,0,1,1,1
673,0,0,0,0,1,1,1
674,0,1,0,1,1,1,1
675,1,1,0,0,1,0,0
676,1,1,1,0,1,0,1
677,1,0,0,1,1,0,1
678,1,1,0,1,0,1,0
679,0,1,1,0,1,0,1
680,0,1,1,1,0,1,1
681,1,0,1,1,0,1,0
682,1,0,1,1,0,1,1
683,0,1,0,1,1,1,1
684,1,1,1,0,1,1,1
685,1,0,0,0,0,1,1
686,0,1,0,1,0,1,1
687,1,0,0,1,1,0,1
688,1,1,1,1,1,0,1
689,1,1,1,0,0,1,1
690,1,0,0,1,1,1,1
691,1,0,0,1,0,1,0
692,1,1,0,0,1,0,0
693,1,1,1,0,1,0,0
694,0,1,0,0,0,1,1
695,0,1,0,0,0,1,0
696,0,1,1,1,0,1,0
697,0,0,1,1,1,0,1
698,0,1,1,1,1,0,1
699,0,1,1,0,0,1,1
700,1,0,1,1,1,1,1
701,0,1,1,1,1,0,1
702,0,0,1,1,1,1,1
703,0,0,1,1,1,0,0
704,1,1,0,0,0,1,1
705,1,1,1,1,1,1,1
706,0,1,1,1,1,1,0
707,1,1,1,0,0,0,1
708,1,1,0,0,0,1,1
709,1,0,0,0,1,0,0
710,1,1,1,1,0,1,1
711,0,1,1,1,1,1,0
712,0,1,0,1,1,1,1
713,0,1,0,1,1,1,1
714,0,0,0,1,0,1,0
715,1,1,0,0,1,1,1
716,1,1,0,1,0,1,0
717,1,0,1,1,1,0,1
718,1,1,1,0,0,0,1
719,1,1,1,0,1,0,0
720,1,1,1,0,0,0,0
721,1,0,1,1,1,0,1
722,1,1,1,1,1,1,1
723,0,1,1,1,1,0,0
724,1,0,0,0,1,0,1
725,1,1,0,1,0,1,1
726,1,1,1,0,0,1,0
727,1,0,1,0,0,0,0
728,1,0,0,0,0,1,1
729,0,1,1,0,1,1,1
730,0,1,1,1,0,1,1
731,0,0,0,1,0,0,1
732,0,1,1,1,1,0,1
733,0,1,0,0,1,1,1
734,0,1,1,0,1,1,0
735,0,1,1,0,1,1,1
736,1,1,0,0,0,1,0
737,0,1,1,0,1,1,1
738,0,1,1,0,1,0,1
739,0,0,1,1,0,1,1
740,1,0,0,0,0,1,1
741,1,1,1,1,1,0,1
742,1,1,1,1,1,1,1
743,1,1,1,1,0,0,0
744,1,1,0,1,1,0,0
745,1,0,1,1,1,1,0
746,0,1,1,0,1,0,0
747,0,1,1,1,1,1,0
748,1,1,1,0,0,1,1
749,1,1,1,1,1,1,0
750,1,1,1,1,1,0,0
751,1,1,0,1,1,1,0
752,0,0,1,0,0,1,1
753,0,0,1,0,1,1,0
754,1,0,0,0,0,0,1
755,0,0,1,0,0,1,1
756,1,1,0,1,0,1,0
757,1,1,1,1,1,0,0
758,1,0,0,0,0,1,1
759,0,1,1,0,1,1,1
760,0,1,1,1,1,1,1
761,1,0,1,1,1,1,1
762,1,1,0,1,0,1,0
763,1,0,1,0,0,1,0
764,0,0,1,0,0,1,1
765,1,1,0,1,1,1,0
766,1,1,1,1,1,0,1
767,1,0,0,0,1,1,0
768,1,1,1,1,1,1,0
769,0,0,1,1,1,1,1
770,0,0,0,1,0,1,0
771,1,1,1,1,0,1,0
772,0,0,1,1,0,0,1
773,1,0,1,1,1,1,0
774,1,1,1,0,0,1,1
775,1,0,1,1,1,1,1
776,0,1,0,1,1,1,1
777,1,1,1,1,1,0,1
778,0,0,0,1,1,1,1
779,0,0,0,1,0,0,1
780,0,1,0,1,1,1,0
781,0,1,0,1,0,1,1
782,1,1,1,1,1,1,1
783,1,1,1,1,1,1,0
784,1,0,1,0,1,1,1
785,1,1,1,0,1,1,1
786,1,1,1,0,0,1,1
787,0,0,0,1,1,0,1
788,1,1,1,0,0,0,1
789,1,0,1,0,0,1,0
790,1,1,1,1,0,0,0
791,0,1,0,0,0,1,0
792,0,1,1,0,0,1,0
793,0,1,1,1,1,1,1
794,1,1,1,1,1,1,1
795,1,0,1,0,1,1,0
796,1,0,1,1,1,1,1
797,0,1,1,0,0,1,1
798,1,1,1,0,1,0,1
799,0,0,0,0,0,1,0
800,1,1,1,1,1,1,1
801,1,1,1,1,1,1,0
802,1,1,1,0,0,1,0
803,1,1,0,1,1,0,0
804,1,1,0,1,1,1,0
805,0,1,1,0,1,0,1
806,1,0,1,1,1,0,0
807,0,1,1,0,1,1,1
808,0,0,1,1,0,1,0
809,1,1,1,1,1,1,1
810,1,0,0,0,0,1,1
811,0,0,1,0,1,1,1
812,1,1,1,1,1,0,1
813,0,0,1,0,0,1,0
814,1,1,0,1,0,1,0
815,1,1,1,1,1,0,0
816,1,1,1,0,1,0,1
817,1,1,1,1,1,1,1
818,0,1,0,0,0,0,1
819,1,0,1,0,1,1,0
820,1,0,0,1,1,1,0
821,0,0,0,1,0,0,0
822,1,0,0,1,1,1,1
823,0,0,1,1,0,0,1
824,1,0,1,1,1,0,0
825,1,0,1,0,1,1,0
826,1,1,0,1,1,0,0
827,1,1,0,0,1,1,0
828,1,1,0,1,1,1,1
829,1,1,1,1,0,0,1
830,0,1,1,0,0,0,1
831,1,1,0,1,1,1,1
832,1,1,1,1,1,0,1
833,1,0,1,1,1,1,1
834,0,0,1,1,0,1,1
835,1,1,0,0,0,1,1
836,0,0,0,1,1,0,1
837,1,1,1,1,1,1,0
838,1,1,1,1,1,0,1
839,0,0,0,1,0,0,1
840,0,1,1,1,0,0,1
841,1,1,1,1,1,0,1
842,1,0,1,0,0,0,0
843,1,0,1,1,1,1,1
844,0,1,1,0,1,1,1
845,1,1,0,1,1,1,1
846,1,1,0,1,0,1,1
847,1,0,0,1,0,0,1
848,0,0,1,1,0,1,0
849,1,1,1,1,1,0,1
850,1,1,1,0,1,0,1
851,0,1,1,1,1,0,1
852,1,1,1,1,0,1,1
853,1,0,0,1,0,1,1
854,1,1,0,1,1,1,1
855,1,1,0,0,1,1,0
856,0,1,1,1,1,1,0
857,0,1,0,1,0,0,1
858,1,0,1,1,1,1,1
859,1,1,1,1,1,1,0
860,0,0,1,1,0,1,1
861,0,1,1,1,1,1,1
862,1,0,1,1,0,1,1
863,1,1,0,0,1,0,0
864,0,1,1,0,1,0,1
865,0,1,1,1,1,0,1
866,1,1,1,1,1,1,1
867,0,0,1,0,1,0,1
868,0,0,1,1,1,1,1
869,1,1,1,0,1,1,1
870,1,0,0,1,1,1,1
871,1,0,1,1,1,1,0
